,Nome,ch,op
0,,,
1,Algorítmos 1,90 horas,
2,Organização de Computadores,30 horas,
3,Física Geral 1,45 horas,
4,Física Experimental 1,30 horas,
5,Introdução à Engenharia de Computação,30 horas,
6,Cálculo Diferencial e Integral 1,90 horas,
7,Geometria Analítica e Àlgebra Linear,90 horas,
8,ENADE INGRESSANTES,0 horas,
9,INGLÊS INSTRUMENTAL,30 horas,[998]
10,Ciências Humanas 1,30 horas,[998]
11,Cálculo Diferencial e Integral 2,60 horas,
12,Probabilidade e Estatística,60 horas,
13,Algorítmos 2,60 horas,
14,Desenho Técnico,60 horas,
15,Física Geral 2,45 horas,
16,Física Experimental 2,30 horas,
17,Química,60 horas,
18,Psicologia do Trabalho,30 horas,[998]
19,Ciências Humanas 2,30 horas,[998]
20,Ciências Humanas 3,30 horas,[998]
21,FILOSOFIA DA CIENCIA E DA TECNOLOGIA,30 horas,[998]
22,A PRESENÇA AFRICANA NO BRASIL - TECNOLOGIA E HUMANISMO,30 horas,[998]
23,HISTORIA DA TÉCNICA E DA TECNOLOGIA,30 horas,[998]
24,LIDERANÇA E GERENCIAMENTO,30 horas,[998]
25,Relações Humanas,30 horas,[998]
26,FUNDAMENTOS DA ÉTICA,30 horas,[998]
27,TECNOLOGIA E SOCIEDADE,30 horas,[998]
28,SOCIEDADE E POLITICA NO BRASIL,30 horas,[998]
29,Libras 1,30 horas,[998]
30,Libras 2,30 horas,[998]
31,Cálculo Diferencial e Integral 3,60 horas,
32,Equações Diferenciais,60 horas,
33,Estrutura de Dados,60 horas,
34,Programação Orientada a Objetos,60 horas,
35,Física Geral 3,45 horas,
36,Física Experimental 3,30 horas,
37,Mecânica dos Sólidos,60 horas,
38,Métodos de Matemática Aplicada,60 horas,
39,Análise de Algorítmos,60 horas,
40,Banco de Dados 1,60 horas,
41,Análise e Projeto Orientado a Objetos,60 horas,
42,Análise de Circuitos Elétricos,60 horas,
43,Matemática Discreta,60 horas,
44,Comunicação Oral e Escrita,30 horas,
45,Teoria da Computação,60 horas,
46,Banco de Dados 2,60 horas,
47,Sistemas de Controle,60 horas,
48,Arquitetura de Computadores,60 horas,
49,Eletrônica Digital,60 horas,
50,Transmissão de Dados,60 horas,
51,Eletrônica Geral 1,60 horas,
52,Compiladores,60 horas,
53,Engenharia de Software,60 horas,
54,Sistemas Operacionais,60 horas,
55,Sistemas microcontrolados,60 horas,
56,Ciências do Ambiente,30 horas,
57,Eletrônica Geral 2,60 horas,
58,Oficina de Integração,30 horas,
59,Fenômenos de Transporte,30 horas,
60,Empreendedorismo,30 horas,
61,Interação Humano-Computador,60 horas,
62,Inteligência Artificial,60 horas,
63,Gerenciamento de Projeto de Software,60 horas,
64,Redes de Computadores,60 horas,
65,Sistemas Embarcados,60 horas,
66,Processamento Digital de Sinais,60 horas,
67,REDES INDUSTRIAIS,60 horas,[997]
68,AUTOMAÇÃO,60 horas,[997]
69,ESTAGIO CURRICULAR SUPERVISIONADO,400 horas,
70,MODELAGEM DE SISTEMAS DINAMICOS,60 horas,[997]
71,REALIDADE VIRTUAL,60 horas,[997]
72,Desenvolvimento de Jogos,60 horas,[997]
73,Game Design,60 horas,[997]
74,MULTIMIDIA,60 horas,[997]
75,CONTROLE DE PROCESSOS,60 horas,[997]
76,ROBÓTICA,60 horas,[997]
77,INSTRUMENTAÇÃO INDUSTRIAL,60 horas,[997]
78,SISTEMAS A EVENTOS DISCRETOS,60 horas,[997]
79,FONTES ALTERNATIVAS DE ENERGIA,60 horas,[997]
80,PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS,60 horas,[997]
81,QUALIDADE DE SOFTWARE,60 horas,[997]
82,ARQUITETURA DE SOFTWARE,60 horas,[997]
83,TESTE E VALIDAÇÃO DE SOFTWARE,60 horas,[997]
84,METODOLOGIAS ÁGEIS DE DESENVOLVIMENTO DE SOFTWARE,60 horas,[997]
85,TÓPICOS EM ENGENHARIA DE SOFTWARE,60 horas,[997]
86,COMPUTAÇÃO GRÁFICA,60 horas,[997]
87,PROCESSAMENTO DE IMAGENS,60 horas,[997]
88,TÓPICOS EM PROGRAMAÇÃO DE SISTEMAS,60 horas,[997]
89,PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS,60 horas,[997]
90,Mineração de Dados,60 horas,[997]
91,Reconhecimento de Padrões,60 horas,[997]
92,Internet das Coisas,60 horas,[997]
93,Gerenciamento de Projetos para Competição,90 horas,[997]
94,Tópicos em Computação Evolutiva,60 horas,[997]
95,Introdução a Banco de Dados para Biologia,60 horas,[997]
96,Introdução a Programação para Bioinformática,60 horas,[997]
97,Experimentação em Computação,60 horas,[997]
98,Tópicos Avançados em Gerenciamento de Projeto Software,60 horas,[997]
99,Tópicos Avançados em Requisitos de Software,60 horas,[997]
100,Tópicos Avançados em Teste de Software,60 horas,[997]
101,Tópicos Avançados em Processo de Produção de Software,60 horas,[997]
102,Servo-acionamentos Industriais,60 horas,[997]
103,Supervisão de Processos,60 horas,[997]
104,Economia,30 horas,
105,Programação para Web,60 horas,
106,Sistemas Distribuídos,60 horas,
107,Segurança e Auditoria de Sistemas,60 horas,
108,Metodologia de Pesquisa,30 horas,
109,LOGICA RECONFIGURAVEL,60 horas,[997]
110,Tópicos Matemáticos para Engenheiros,45 horas,[997]
111,Gerenciamento de Projetos para Competiçoes nos Projetos Pedagógicos,90 horas,[997]
112,Trabalho de Conclusão de Curso 1,60 horas,
113,Trabalho de Conclusão de Curso 2,60 horas,
114,ENADE CONCLUINTES,0 horas,
115,ATIVIDADES COMPLEMENTARES,180 horas,
