Novos Códigos,Disciplina,Departamento da disciplina,Optativa,CH,CH EAD,Aulas teóricas semanais,Aulas práticas semanais,Código da disciplina atual equivalente (para aproveitamento e não criação de outra disciplina no sistema),Disciplina da matriz atual (ou de outros cursos) a ser utilizada para convalidação,Pré-requisito,Alterações com relação à matriz atual,Observação
EC41A,Algoritmos 1,DACOM,Não,90,0,3,3,-,EC31A,-,Alteração na ementa,
EC41B,Comunicação Acadêmica,DACHS,Não,30,0,2,0,-,EC34H,-,Disciplina nova,
EC41C,Eletricidade Básica,DAELE,Não,60,0,2,2,-,EC34F,-,Disciplina nova,
EC41D,Introdução a Engenharia de Computação,DACOM,Não,30,0,1,1,-,EC31E,-,Alteração na ementa,
EC41E,Fundamentos de Matemática,DAMAT,Não,60,0,4,0,-,EC31F,-,Disciplina nova,
EC41F,Geometria Analitica e Álgebra Linear,DAMAT,Não,90,0,6,0,-,EC31G,-,Alteração na ementa,
EC42A,Algoritmos 2,DACOM,Não,60,0,2,2,-,EC32D,EC31A,Alteração na ementa,
EC42B,Organização de Computadores,DACOM,Não,30,0,1,1,-,EC31B,-,Mudança de período e ementa,
EC42C,Circuitos Digitais,DAELE,Não,60,0,2,2,-,EC35E,-,Disciplina nova,
EC42D,Fundamentos de Ética,DACHS,Não,0,30,2,0,-,ES62A,-,Alteração na ementa,
EC42E,Qualidade de Vida 1,DACHS,Não,0,30,1,1,-,ES32C,-,Alteração na ementa,
EC42F,Cálculo Diferencial e Integral 1,DAMAT,Não,30,30,2,2,-,EC31F,EC41F,Disciplina nova,
EC42G,Espanhol Instrumental,DACHS,Sim,0,30,2,0,-,,,,
EC42H,Libras 1,DACHS,Sim,0,30,2,0,-,LI52A,,Alteração na ementa,
EC42I,Libras 2,DACHS,Sim,0,30,2,0,-,LI52B,EC42H,Alteração na ementa,
EC42J,Sociedade e Política,DACHS,Sim,0,30,2,0,-,ES64A,,Alteração na ementa,
EC42K,Tecnologia e Sociedade,DACHS,Sim,0,30,2,0,-,ES63A,,Alteração na ementa,
EC42L,História da Técnica e da Tecnologia,DACHS,Sim,0,30,2,0,-,ES61D,,Alteração na ementa,
EC42M,Ciências do Ambiente,DACHS,Sim,0,30,2,0,-,EC36E,,Alteração na ementa,
EC42N,A Presença Africana no Brasil,DACHS,Sim,0,30,2,0,-,ES61C,,Alteração na ementa,
EC42O,Economia,DACHS,Sim,0,30,2,0,-,EC38A,,Alteração na ementa,
EC43A,Estrutura de Dados 1,DACOM,Não,60,0,2,2,-,EC33D,EC42A,Disciplina nova,
EC43B,Leitura Instrumental em Língua Inglesa,DACHS,Não,0,30,1,1,-,CE35B,-,Alteração na ementa,
EC43C,Análise de Circuitos em Corrente Contínua,DAELE,Não,90,0,4,2,-,EC34F,-,Disciplina nova,
EC43D,Teoria de Cinemática e Mecânica,DACIN,Não,60,0,4,0,-,EC31C,EC42F,"Alteração da carga horária, ementa e período",
